날짜,평균기온
2021.04.02,13.9
2021.04.03,13.45
2021.04.04,9.1
2021.04.05,8.3
2021.04.06,11.85
2021.04.07,14.2
2021.04.08,12
2021.04.09,7.45
2021.04.10,8.8
2021.04.11,11.7
2021.04.12,11.3
2021.04.13,14.35
2021.04.14,10
2021.04.15,9.85
2021.04.16,12.65
2021.04.17,12.1
2021.04.18,11.2
2021.04.19,14.6
2021.04.20,17.25
2021.04.21,17.8
2021.04.22,18.45
2021.04.23,14.95
2021.04.24,15.45
2021.04.25,13.55
2021.04.26,11.9
2021.04.27,14.8
2021.04.28,17.3
2021.04.29,14.8
2021.04.30,15.1
2021.05.01,11.05
2021.05.02,11.45
2021.05.03,14.75
2021.05.04,15.7
2021.05.05,17.1
2021.05.06,15.25
2021.05.07,16.25
2021.05.08,16.75
2021.05.09,17.25
2021.05.10,11.55
2021.05.11,14.3
2021.05.12,15.75
2021.05.13,18.65
2021.05.14,20.8
2021.05.15,19.55
2021.05.16,19.05
2021.05.17,14.15
2021.05.18,16.85
2021.05.19,20.45
2021.05.20,15.65
2021.05.21,16
2021.05.22,19.9
2021.05.23,21.55
2021.05.24,20.1
2021.05.25,15.9
2021.05.26,16.15
2021.05.27,17.3
2021.05.28,14.9
2021.05.29,18.2
2021.05.30,18.45
2021.05.31,18.65
2021.06.01,20.75
2021.06.02,22.7
2021.06.03,18.15
2021.06.04,20
2021.06.05,21.35
2021.06.06,22.8
2021.06.07,23.3
2021.06.08,23.9
2021.06.09,24.05
2021.06.10,23.55
2021.06.11,21.85
2021.06.12,23.5
2021.06.13,24.3
2021.06.14,22.9
2021.06.15,20.95
2021.06.16,19.8
2021.06.17,18.9
2021.06.18,21.4
2021.06.19,23
2021.06.20,23.8
2021.06.21,22.5
2021.06.22,19.75
2021.06.23,18.95
2021.06.24,21.65
2021.06.25,23
2021.06.26,22.45
2021.06.27,23
2021.06.28,22.6
2021.06.29,23.65
2021.06.30,23
2021.07.01,24.05
2021.07.02,23
2021.07.03,21.7
2021.07.04,25.9
2021.07.05,23.45
2021.07.06,23
2021.07.07,23.85
2021.07.08,23.9
2021.07.09,23.75
2021.07.10,24.75
2021.07.11,25.25
2021.07.12,27.05
2021.07.13,28.4
2021.07.14,28.95
2021.07.15,25.85
2021.07.16,26.15
2021.07.17,25.8
2021.07.18,26.1
2021.07.19,26.55
2021.07.20,27.4
2021.07.21,26.85
2021.07.22,26.9
2021.07.23,27.2
2021.07.24,27.35
2021.07.25,27.25
2021.07.26,27.45
2021.07.27,27.25
2021.07.28,27.15
2021.07.29,27.8
2021.07.30,28.8
2021.07.31,28.9
2021.08.01,26.8
2021.08.02,27
2021.08.03,27.45
2021.08.04,28.65
2021.08.05,28.9
2021.08.06,28.65
2021.08.07,28.25
2021.08.08,25.15
2021.08.09,25.15
2021.08.10,23.85
2021.08.11,25.35
2021.08.12,25.2
2021.08.13,24.45
2021.08.14,22.8
2021.08.15,22.45
2021.08.16,23.3
2021.08.17,23
2021.08.18,22.45
2021.08.19,22.55
2021.08.20,24.05
2021.08.21,22.7
2021.08.22,24.75
2021.08.23,22.05
2021.08.24,23.9
2021.08.25,23.65
2021.08.26,25.45
2021.08.27,23
2021.08.28,24.2
2021.08.29,22.3
2021.08.30,23.55
2021.08.31,22.7
2021.09.01,20.45
2021.09.02,21.15
2021.09.03,20.6
2021.09.04,20.8
2021.09.05,20.8
2021.09.06,21.6
2021.09.07,21.4
2021.09.08,22.9
2021.09.09,22.35
2021.09.10,21.95
2021.09.11,23.1
2021.09.12,22.5
2021.09.13,21.55
2021.09.14,20.7
2021.09.15,21.6
2021.09.16,20.6
2021.09.17,18.6
2021.09.18,20.05
2021.09.19,20.35
2021.09.20,20.85
2021.09.21,21.3
2021.09.22,21.4
2021.09.23,19.8
2021.09.24,18.9
2021.09.25,19.55
2021.09.26,19.95
2021.09.27,19.25
2021.09.28,20.4
2021.09.29,21.65
2021.09.30,20.95
2021.10.01,20.35
2021.10.02,20.45
2021.10.03,20.75
2021.10.04,21.5
2021.10.05,22.7
2021.10.06,20.55
2021.10.07,21.6
2021.10.08,20
2021.10.09,21.5
2021.10.10,23.35
2021.10.11,16.5
2021.10.12,15.2
2021.10.13,17.2
2021.10.14,18.4
2021.10.15,17.7
2021.10.16,13.4
