날짜,가격
2022-10-14,5121
2022-10-15,5121
2022-10-16,5121
2022-10-17,5145
2022-10-18,5145
2022-10-19,5137
2022-10-20,5019
2022-10-21,4994
2022-10-22,4994
2022-10-23,4994
2022-10-24,4966
2022-10-25,4876
2022-10-26,4876
2022-10-27,4995
2022-10-28,4923
2022-10-29,4923
2022-10-30,4923
2022-10-31,4941
2022-11-01,4926
2022-11-02,4926
2022-11-03,5323
2022-11-04,5278
2022-11-05,5278
2022-11-06,5278
2022-11-07,5190
2022-11-08,5228
2022-11-09,5271
2022-11-10,5202
2022-11-11,5202
2022-11-12,5202
2022-11-13,5202
2022-11-14,5133
2022-11-15,5133
2022-11-16,5144
2022-11-17,5168
2022-11-18,4557
2022-11-19,4557
2022-11-20,4557
2022-11-21,5083
2022-11-22,5219
2022-11-23,5217
2022-11-24,5161
2022-11-25,5188
2022-11-26,5188
2022-11-27,5188
2022-11-28,5165
2022-11-29,5159
2022-11-30,5166
2022-12-01,5283
2022-12-02,5283
2022-12-03,5283
2022-12-04,5283
2022-12-05,5358
2022-12-06,5305
2022-12-07,5284
2022-12-08,4997
2022-12-09,4981
2022-12-10,4981
2022-12-11,4981
2022-12-12,5038
2022-12-13,4996
2022-12-14,4996
2022-12-15,5100
2022-12-16,5130
2022-12-17,5130
2022-12-18,5130
2022-12-19,5141
2022-12-20,5152
2022-12-21,5141
2022-12-22,5235
2022-12-23,5235
2022-12-24,5235
2022-12-25,5235
2022-12-26,5188
2022-12-27,5195
2022-12-28,5195
2022-12-29,5219
2022-12-30,5239
2022-12-31,5239
2023-01-01,5239
2023-01-02,5232
2023-01-03,5173
2023-01-04,5193
2023-01-05,5172
2023-01-06,5191
2023-01-07,5191
2023-01-08,5191
2023-01-09,5196
2023-01-10,5230
2023-01-11,5217
2023-01-12,5233
2023-01-13,5208
2023-01-14,5208
2023-01-15,5208
2023-01-16,5147
2023-01-17,5147
2023-01-18,5167
2023-01-19,5115
2023-01-20,5119
2023-01-21,5119
2023-01-22,5119
2023-01-23,5119
2023-01-24,5119
2023-01-25,5117
2023-01-26,5127
2023-01-27,5146
2023-01-28,5146
2023-01-29,5146
2023-01-30,5217
2023-01-31,5249
2023-02-01,5249
2023-02-02,5334
2023-02-03,5334
2023-02-04,5334
2023-02-05,5334
2023-02-06,5300
2023-02-07,5245
2023-02-08,5225
2023-02-09,5180
2023-02-10,5180
2023-02-11,5180
2023-02-12,5180
2023-02-13,5204
2023-02-14,5204
2023-02-15,5204
2023-02-16,5142
2023-02-17,5165
2023-02-18,5165
2023-02-19,5165
2023-02-20,5165
2023-02-21,5168
2023-02-22,5171
2023-02-23,5263
2023-02-24,5270
2023-02-25,5270
2023-02-26,5270
2023-02-27,5270
2023-02-28,5277
2023-03-01,5277
2023-03-02,4775
2023-03-03,4793
2023-03-04,4793
2023-03-05,4793
2023-03-06,4770
2023-03-07,4778
2023-03-08,4778
2023-03-09,5156
2023-03-10,5082
2023-03-11,5082
2023-03-12,5082
2023-03-13,5168
2023-03-14,5160
2023-03-15,5179
2023-03-16,5295
2023-03-17,5300
2023-03-18,5300
2023-03-19,5300
2023-03-20,5319
2023-03-21,5303
2023-03-22,5335
2023-03-23,5373
2023-03-24,5373
2023-03-25,5373
2023-03-26,5373
2023-03-27,5373
2023-03-28,5373
2023-03-29,5373
2023-03-30,5354
2023-03-31,5354
2023-04-01,5354
2023-04-02,5354
2023-04-03,5313
2023-04-04,5159
2023-04-05,5040
2023-04-06,5244
2023-04-07,5232
2023-04-08,5232
2023-04-09,5232
2023-04-10,5418
2023-04-11,5416
2023-04-12,5416
2023-04-13,5315
2023-04-14,5356
2023-04-15,5356
2023-04-16,5356
2023-04-17,5481
2023-04-18,5490
2023-04-19,5500
2023-04-20,5340
2023-04-21,5338
2023-04-22,5338
2023-04-23,5338
2023-04-24,5388
2023-04-25,5395
2023-04-26,5403
2023-04-27,5589
2023-04-28,5596
2023-04-29,5596
2023-04-30,5596
2023-05-01,5596
2023-05-02,5596
2023-05-03,5596
2023-05-04,5607
2023-05-05,5607
2023-05-06,5607
2023-05-07,5607
2023-05-08,5580
2023-05-09,5644
2023-05-10,5644
2023-05-11,5643
2023-05-12,5634
2023-05-13,5634
2023-05-14,5634
2023-05-15,5642
2023-05-16,5642
2023-05-17,5631
2023-05-18,5640
2023-05-19,5605
2023-05-20,5605
2023-05-21,5605
2023-05-22,5640
2023-05-23,5635
2023-05-24,5623
2023-05-25,5537
2023-05-26,5453
2023-05-27,5453
2023-05-28,5453
2023-05-29,5453
2023-05-30,5490
2023-05-31,5516
2023-06-01,5487
2023-06-02,5348
2023-06-03,5348
2023-06-04,5348
2023-06-05,5340
2023-06-06,5340
2023-06-07,5352
2023-06-08,5447
2023-06-09,5462
2023-06-10,5462
2023-06-11,5462
2023-06-12,5450
2023-06-13,5472
2023-06-14,5459
2023-06-15,5435
