날짜,Average_Value
2021.12.12,4.1000000000000005
2021.12.13,-0.36666666666666664
2021.12.14,1.8666666666666665
2021.12.15,5.833333333333333
2021.12.16,5.866666666666667
2021.12.17,-1.5999999999999999
2021.12.18,-3.9333333333333336
2021.12.19,1.5333333333333332
2021.12.20,4.7
2021.12.21,5.3999999999999995
2021.12.22,1.9000000000000001
2021.12.23,1.5333333333333332
2021.12.24,1.2
2021.12.25,-6.333333333333333
2021.12.26,-8.2
2021.12.27,-5.3999999999999995
2021.12.28,-0.7333333333333334
2021.12.29,2.1333333333333333
2021.12.30,-0.13333333333333336
2021.12.31,-3.466666666666667
2022.01.01,-4.0
2022.01.02,-1.3999999999999997
2022.01.03,-2.1
2022.01.04,-0.3333333333333333
2022.01.05,-1.4000000000000001
2022.01.06,-0.6333333333333333
2022.01.07,-2.5666666666666664
2022.01.08,-1.0666666666666667
2022.01.09,0.9333333333333332
2022.01.10,-0.06666666666666665
2022.01.11,-3.1
2022.01.12,-4.533333333333334
2022.01.13,-4.1000000000000005
2022.01.14,-3.366666666666667
2022.01.15,-0.2333333333333333
2022.01.16,0.09999999999999998
2022.01.17,-2.2666666666666666
2022.01.18,-3.6999999999999997
2022.01.19,-3.766666666666667
2022.01.20,-4.066666666666666
2022.01.21,-2.566666666666667
2022.01.22,2.9
2022.01.23,4.033333333333333
2022.01.24,4.033333333333334
2022.01.25,3.0666666666666664
2022.01.26,2.1333333333333333
2022.01.27,0.5666666666666665
2022.01.28,-0.6333333333333333
2022.01.29,-1.2999999999999998
2022.01.30,-1.8333333333333333
2022.01.31,-1.0999999999999999
2022.02.01,0.5333333333333333
2022.02.02,-0.43333333333333335
2022.02.03,-1.8333333333333333
2022.02.04,-2.6666666666666665
2022.02.05,-3.9
2022.02.06,-2.233333333333333
2022.02.07,-1.6000000000000003
2022.02.08,0.2666666666666666
2022.02.09,0.16666666666666666
2022.02.10,2.066666666666667
2022.02.11,1.5333333333333332
2022.02.12,3.5333333333333337
2022.02.13,4.566666666666666
2022.02.14,2.9
2022.02.15,-1.8666666666666665
2022.02.16,-4.366666666666666
2022.02.17,-5.1000000000000005
2022.02.18,-1.0
2022.02.19,0.5333333333333333
2022.02.20,-3.1333333333333333
2022.02.21,-1.1
2022.02.22,-1.7999999999999998
2022.02.23,-3.6666666666666665
2022.02.24,-2.033333333333333
2022.02.25,1.2666666666666666
2022.02.26,4.766666666666667
2022.02.27,4.0
2022.02.28,4.8
2022.03.01,4.933333333333333
2022.03.02,2.6333333333333333
2022.03.03,4.733333333333333
2022.03.04,7.5
2022.03.05,3.733333333333333
2022.03.06,1.8
2022.03.07,1.9333333333333333
2022.03.08,3.8333333333333335
2022.03.09,5.2
2022.03.10,7.166666666666667
2022.03.11,11.1
2022.03.12,14.366666666666665
2022.03.13,13.033333333333331
2022.03.14,9.200000000000001
2022.03.15,6.933333333333334
2022.03.16,9.3
2022.03.17,9.9
2022.03.18,7.166666666666667
2022.03.19,3.633333333333333
2022.03.20,4.266666666666667
2022.03.21,5.0
2022.03.22,6.2
2022.03.23,4.766666666666667
