날짜,평균기온
2022.08.28,19.8
2022.08.29,18.9
2022.08.30,18.2
2022.08.31,20.4
2022.09.01,21.75
2022.09.02,22.5
2022.09.03,22.05
2022.09.04,21.25
2022.09.05,19.4
2022.09.06,20.5
2022.09.07,20.15
2022.09.08,20.2
2022.09.09,20.8
2022.09.10,20.45
2022.09.11,21.7
2022.09.12,22.1
2022.09.13,22.6
2022.09.14,22.65
2022.09.15,23.05
2022.09.16,24.65
2022.09.17,24.8
2022.09.18,25.45
2022.09.19,22.35
2022.09.20,17.2
2022.09.21,15.95
2022.09.22,16.5
2022.09.23,15.3
2022.09.24,15.35
2022.09.25,15.85
2022.09.26,16.5
2022.09.27,17.25
2022.09.28,17.05
2022.09.29,17.15
2022.09.30,16.7
2022.10.01,17.25
2022.10.02,16.95
2022.10.03,19.75
2022.10.04,17.9
2022.10.05,15.15
2022.10.06,14.5
2022.10.07,13.4
2022.10.08,12.75
2022.10.09,11.65
2022.10.10,8.5
2022.10.11,9.75
2022.10.12,10.2
2022.10.13,12.85
2022.10.14,14.15
2022.10.15,15.45
2022.10.16,14.5
2022.10.17,10.7
2022.10.18,6.5
2022.10.19,6.65
2022.10.20,9.3
2022.10.21,10.5
2022.10.22,12.95
2022.10.23,12.4
2022.10.24,8.55
2022.10.25,8.4
2022.10.26,9.1
2022.10.27,10.5
2022.10.28,11.5
2022.10.29,11.25
2022.10.30,11.45
2022.10.31,11.85
2022.11.01,10.1
2022.11.02,7.85
2022.11.03,6.95
2022.11.04,3
2022.11.05,3.4
2022.11.06,5.95
2022.11.07,7.8
2022.11.08,8.9
2022.11.09,8.25
2022.11.10,10.8
2022.11.11,11.7
2022.11.12,14
2022.11.13,10.2
2022.11.14,8.35
2022.11.15,4.9
2022.11.16,5.95
2022.11.17,6.55
2022.11.18,6.85
2022.11.19,8.4
2022.11.20,9.75
2022.11.21,8.65
2022.11.22,8.2
2022.11.23,9.7
2022.11.24,5.8
2022.11.25,9.85
2022.11.26,6.15
2022.11.27,2.4
2022.11.28,7.45
2022.11.29,7.25
2022.11.30,-5.4
2022.12.01,-6.15
2022.12.02,-5.3
2022.12.03,-0.35
2022.12.04,-3.55
2022.12.05,-4.05
2022.12.06,-2.7
2022.12.07,1.65
2022.12.08,0.25
2022.12.09,0.4
2022.12.10,-1.2
2022.12.11,-1.4
2022.12.12,-0.45
2022.12.13,-0.7
2022.12.14,-9.45
2022.12.15,-7.5
2022.12.16,-8.65
2022.12.17,-9.35
2022.12.18,-11.85
2022.12.19,-10.65
2022.12.20,-7.35
2022.12.21,-2.15
2022.12.22,-8.5
2022.12.23,-12.85
2022.12.24,-12.65
2022.12.25,-10.7
2022.12.26,-9.5
2022.12.27,-8.15
2022.12.28,-5.55
2022.12.29,-6.15
2022.12.30,-4.65
