날짜,경유가격
2021-07-28,1437
2021-07-29,1437
2021-07-30,1438
2021-07-31,1438
2021-08-01,1439
2021-08-02,1439
2021-08-03,1440
2021-08-04,1440
2021-08-05,1441
2021-08-06,1441
2021-08-07,1441
2021-08-08,1441
2021-08-09,1442
2021-08-10,1442
2021-08-11,1442
2021-08-12,1442
2021-08-13,1442
2021-08-14,1441
2021-08-15,1441
2021-08-16,1442
2021-08-17,1441
2021-08-18,1441
2021-08-19,1441
2021-08-20,1440
2021-08-21,1439
2021-08-22,1439
2021-08-23,1439
2021-08-24,1439
2021-08-25,1439
2021-08-26,1438
2021-08-27,1438
2021-08-28,1438
2021-08-29,1438
2021-08-30,1438
2021-08-31,1438
2021-09-01,1437
2021-09-02,1437
2021-09-03,1437
2021-09-04,1436
2021-09-05,1436
2021-09-06,1436
2021-09-07,1436
2021-09-08,1436
2021-09-09,1436
2021-09-10,1436
2021-09-11,1436
2021-09-12,1436
2021-09-13,1436
2021-09-14,1436
2021-09-15,1436
2021-09-16,1436
2021-09-17,1436
2021-09-18,1436
2021-09-19,1436
2021-09-20,1436
2021-09-21,1436
2021-09-22,1436
2021-09-23,1437
2021-09-24,1437
2021-09-25,1437
2021-09-26,1437
2021-09-27,1438
2021-09-28,1439
2021-09-29,1439
2021-09-30,1440
2021-10-01,1443
2021-10-02,1444
2021-10-03,1445
2021-10-04,1446
2021-10-05,1448
2021-10-06,1452
2021-10-07,1456
2021-10-08,1462
2021-10-09,1468
2021-10-10,1472
2021-10-11,1476
2021-10-12,1481
2021-10-13,1490
2021-10-14,1498
2021-10-15,1506
2021-10-16,1514
2021-10-17,1518
2021-10-18,1523
2021-10-19,1530
2021-10-20,1537
2021-10-21,1542
2021-10-22,1547
2021-10-23,1551
2021-10-24,1553
2021-10-25,1556
2021-10-26,1560
2021-10-27,1564
2021-10-28,1568
2021-10-29,1572
2021-10-30,1576
2021-10-31,1578
2021-11-01,1582
2021-11-02,1585
2021-11-03,1588
2021-11-04,1591
2021-11-05,1594
2021-11-06,1597
2021-11-07,1598
2021-11-08,1600
2021-11-09,1602
2021-11-10,1604
2021-11-11,1605
2021-11-12,1575
2021-11-13,1562
2021-11-14,1555
2021-11-15,1542
2021-11-16,1531
2021-11-17,1526
2021-11-18,1521
2021-11-19,1518
2021-11-20,1516
2021-11-21,1515
2021-11-22,1513
2021-11-23,1511
2021-11-24,1510
2021-11-25,1509
2021-11-26,1508
2021-11-27,1506
2021-11-28,1505
2021-11-29,1504
2021-11-30,1503
2021-12-01,1501
2021-12-02,1499
2021-12-03,1497
2021-12-04,1495
2021-12-05,1494
2021-12-06,1493
2021-12-07,1489
2021-12-08,1486
2021-12-09,1483
2021-12-10,1480
2021-12-11,1478
2021-12-12,1477
2021-12-13,1475
2021-12-14,1472
2021-12-15,1469
2021-12-16,1466
2021-12-17,1463
2021-12-18,1461
2021-12-19,1460
2021-12-20,1458
2021-12-21,1455
2021-12-22,1453
2021-12-23,1451
2021-12-24,1449
2021-12-25,1447
2021-12-26,1447
2021-12-27,1446
2021-12-28,1445
2021-12-29,1444
2021-12-30,1444
2021-12-31,1443
2022-01-01,1442
2022-01-02,1442
2022-01-03,1441
2022-01-04,1440
2022-01-05,1440
2022-01-06,1439
2022-01-07,1439
2022-01-08,1439
2022-01-09,1439
2022-01-10,1439
2022-01-11,1439
2022-01-12,1439
2022-01-13,1441
2022-01-14,1442
2022-01-15,1444
2022-01-16,1445
2022-01-17,1447
2022-01-18,1449
2022-01-19,1452
2022-01-20,1455
2022-01-21,1459
2022-01-22,1462
2022-01-23,1464
2022-01-24,1466
2022-01-25,1469
2022-01-26,1472
2022-01-27,1475
2022-01-28,1478
2022-01-29,1481
2022-01-30,1483
2022-01-31,1484
2022-02-01,1485
2022-02-02,1487
2022-02-03,1489
2022-02-04,1493
2022-02-05,1499
2022-02-06,1501
2022-02-07,1505
2022-02-08,1511
2022-02-09,1516
2022-02-10,1521
2022-02-11,1524
2022-02-12,1528
2022-02-13,1531
2022-02-14,1535
2022-02-15,1540
2022-02-16,1545
2022-02-17,1549
2022-02-18,1552
2022-02-19,1555
2022-02-20,1557
2022-02-21,1560
2022-02-22,1563
2022-02-23,1568
2022-02-24,1572
2022-02-25,1577
2022-02-26,1581
2022-02-27,1582
2022-02-28,1585
2022-03-01,1590
2022-03-02,1594
2022-03-03,1602
2022-03-04,1615
2022-03-05,1634
2022-03-06,1646
2022-03-07,1665
2022-03-08,1706
2022-03-09,1750
2022-03-10,1781
2022-03-11,1818
2022-03-12,1857
2022-03-13,1872
2022-03-14,1892
2022-03-15,1912
2022-03-16,1917
2022-03-17,1917
2022-03-18,1917
2022-03-19,1917
2022-03-20,1917
2022-03-21,1917
2022-03-22,1917
2022-03-23,1918
2022-03-24,1918
2022-03-25,1919
2022-03-26,1919
2022-03-27,1919
2022-03-28,1920
2022-03-29,1920
2022-03-30,1919
2022-03-31,1918
2022-04-01,1916
2022-04-02,1915
2022-04-03,1914
2022-04-04,1913
2022-04-05,1911
2022-04-06,1910
2022-04-07,1909
2022-04-08,1907
2022-04-09,1906
2022-04-10,1905
2022-04-11,1904
2022-04-12,1902
2022-04-13,1900
2022-04-14,1899
