날짜,평균기온
2022-02-24,-0.15
2022-02-25,3.15
2022-02-26,5.9
2022-02-27,5.25
2022-02-28,6.8
2022-03-01,8.05
2022-03-02,5.05
2022-03-03,4.7
2022-03-04,10.15
2022-03-05,5.35
2022-03-06,2.95
2022-03-07,3.95
2022-03-08,5.25
2022-03-09,6.5
2022-03-10,10.4
2022-03-11,14.5
2022-03-12,14.0
2022-03-13,10.45
2022-03-14,9.6
2022-03-15,9.1
2022-03-16,11.45
2022-03-17,8.4
2022-03-18,6.2
2022-03-19,3.35
2022-03-20,5.0
2022-03-21,6.15
2022-03-22,6.15
2022-03-23,6.2
2022-03-24,8.95
2022-03-25,13.5
2022-03-26,9.9
2022-03-27,10.3
2022-03-28,8.15
2022-03-29,11.8
2022-03-30,13.15
2022-03-31,7.4
2022-04-01,6.75
2022-04-02,7.45
2022-04-03,8.9
2022-04-04,11.1
2022-04-05,11.7
2022-04-06,10.75
2022-04-07,11.55
2022-04-08,13.4
2022-04-09,18.45
2022-04-10,20.35
2022-04-11,21.25
2022-04-12,18.95
2022-04-13,11.95
2022-04-14,11.65
2022-04-15,11.65
2022-04-16,12.45
2022-04-17,14.4
2022-04-18,14.9
2022-04-19,14.5
2022-04-20,16.55
2022-04-21,15.65
2022-04-22,18.2
2022-04-23,16.85
2022-04-24,21.1
2022-04-25,19.9
2022-04-26,18.3
2022-04-27,15.1
2022-04-28,13.75
2022-04-29,10.85
2022-04-30,12.8
2022-05-01,13.2
2022-05-02,11.7
2022-05-03,14.15
2022-05-04,18.2
2022-05-05,19.8
2022-05-06,20.55
2022-05-07,15.6
2022-05-08,13.95
2022-05-09,15.6
2022-05-10,15.2
2022-05-11,17.9
2022-05-12,17.8
2022-05-13,14.65
2022-05-14,15.55
2022-05-15,15.25
2022-05-16,17.1
2022-05-17,18.5
2022-05-18,20.9
2022-05-19,20.25
2022-05-20,21.6
2022-05-21,22.1
2022-05-22,20.15
2022-05-23,23.6
2022-05-24,28.0
2022-05-25,26.4
2022-05-26,22.1
2022-05-27,20.6
2022-05-28,23.6
2022-05-29,22.75
2022-05-30,19.2
2022-05-31,21.4
2022-06-01,22.1
2022-06-02,22.95
2022-06-03,21.1
2022-06-04,21.2
2022-06-05,19.55
2022-06-06,18.2
2022-06-07,17.3
2022-06-08,18.45
2022-06-09,19.0
2022-06-10,20.9
2022-06-11,20.55
2022-06-12,20.3
2022-06-13,20.2
2022-06-14,18.7
2022-06-15,18.8
2022-06-16,21.95
2022-06-17,25.15
2022-06-18,25.65
2022-06-19,26.8
2022-06-20,26.25
2022-06-21,25.45
2022-06-22,26.35
2022-06-23,25.15
2022-06-24,25.9
2022-06-25,27.95
2022-06-26,27.8
2022-06-27,27.8
2022-06-28,29.3
2022-06-29,28.8
2022-06-30,26.65
2022-07-01,28.5
2022-07-02,28.3
2022-07-03,28.95
2022-07-04,28.25
2022-07-05,27.55
2022-07-06,27.55
2022-07-07,29.05
2022-07-08,28.8
2022-07-09,27.55
2022-07-10,26.55
2022-07-11,25.6
2022-07-12,24.8
2022-07-13,24.55
2022-07-14,25.4
2022-07-15,25.4
2022-07-16,25.7
2022-07-17,25.35
2022-07-18,25.8
2022-07-19,26.0
2022-07-20,27.35
2022-07-21,24.05
2022-07-22,23.9
2022-07-23,24.65
2022-07-24,25.3
2022-07-25,25.4
2022-07-26,25.0
2022-07-27,25.8
2022-07-28,26.7
2022-07-29,27.85
2022-07-30,27.35
2022-07-31,26.45
2022-08-01,27.3
2022-08-02,28.35
2022-08-03,29.4
2022-08-04,29.6
2022-08-05,31.1
2022-08-06,30.85
2022-08-07,31.2
2022-08-08,29.2
2022-08-09,27.35
2022-08-10,26.3
2022-08-11,26.4
2022-08-12,27.35
2022-08-13,27.05
2022-08-14,28.2
2022-08-15,29.75
2022-08-16,27.8
2022-08-17,25.1
2022-08-18,25.05
2022-08-19,27.35
2022-08-20,25.95
2022-08-21,25.8
2022-08-22,26.85
2022-08-23,25.8
2022-08-24,24.05
2022-08-25,23.7
2022-08-26,24.6
2022-08-27,23.5
2022-08-28,21.3
2022-08-29,22.25
2022-08-30,22.65
2022-08-31,22.1
2022-09-01,22.5
2022-09-02,22.45
2022-09-03,23.85
2022-09-04,23.9
2022-09-05,22.95
2022-09-06,22.25
2022-09-07,22.65
2022-09-08,22.0
2022-09-09,21.85
2022-09-10,21.8
2022-09-11,23.1
2022-09-12,23.05
2022-09-13,23.45
2022-09-14,24.1
2022-09-15,24.0
2022-09-16,24.9
2022-09-17,26.15
2022-09-18,25.9
2022-09-19,22.25
2022-09-20,18.5
2022-09-21,17.9
2022-09-22,19.1
