날짜,총반입량,평균기온,강수량,환율,경유가격,총반입량_lag_1,총반입량_lag_7,총반입량_lag_30,평균기온_lag_1,평균기온_lag_7,평균기온_lag_30,강수량_lag_1,강수량_lag_7,강수량_lag_30,환율_lag_1,환율_lag_7,환율_lag_30,경유가격_lag_1,경유가격_lag_7,경유가격_lag_30
2021-10-10,-0.11087914809463591,0.9604525364810181,0.23117318508524853,-1.1726358492072217,-0.6127024442663912,-0.1112954478536653,0.602806135310208,1.2841020619301893,0.7521884116336127,0.9357926609716294,0.8805666126921571,-0.11693820179644854,-0.3358252825814244,-0.043640961315408365,-1.212917205189405,-1.3050687474467744,-1.350603450068091,-0.6326109587754872,-0.7470310893505879,-0.752729570840128
2021-10-11,0.9187465596565587,0.1575408202156741,0.19868325937705625,-1.1705187669873824,-0.590967107399544,-0.1112954478536653,1.729433948959622,1.669558491817921,0.9607392233634147,1.0799211049981492,1.0328136238379328,0.23116870325460145,-0.3358252825814244,-0.3321948612917338,-1.1703233773482655,-1.2688266578245326,-1.350603450068091,-0.610865187967198,-0.7415790357791628,-0.752729570840128
2021-10-12,0.8206869684421593,0.32347590824384526,-0.3350798058289603,-1.1600343461342408,-0.5637979363159848,0.91849563430631,0.5360100198764483,1.669558491817921,0.15862071671033023,0.7436214022696029,0.9278156851167082,0.1986787254498368,-0.27085047533632445,-0.3321948612917338,-1.168207181580241,-1.2363239369589674,-1.3482289866465509,-0.5891194171589088,-0.7306749286363126,-0.752729570840128
2021-10-13,0.28135921676296205,0.47335276194670933,-0.3350798058289603,-1.257956639530279,-0.5148934283655784,0.8204202931482171,0.9412397868412572,2.0638759890593934,0.32439187475196773,0.5300977814895736,0.9068160973724633,-0.3350851956284399,1.929010855676344,-0.304270290326283,-1.1577271507001519,-1.1959597535444637,-1.3317978897265657,-0.5619372036485473,-0.7088667143506119,-0.752729570840128
2021-10-14,1.204010825007539,0.6339351051997781,-0.3350798058289603,-1.3020113955436512,-0.47142275463188377,0.28100591677870623,0.8610844483207456,1.8157661031546468,0.47412066266054337,0.5567882340870772,0.8123179525233613,-0.3350851956284399,-0.2522862446948674,-0.17860972098175415,-1.255608442667952,-1.1981647609699124,-1.3347416165066406,-0.5130092193298965,-0.6870585000649113,-0.752729570840128
2021-10-15,0.32147450407794365,0.414472569420584,1.4193761824134243,-1.3020113955436512,-0.4279520808981892,1.2038057176753074,1.2574080665610532,1.4303096732669152,0.6345443639911602,0.5941548677235825,0.8333175402676061,-0.3350851956284399,-0.07592605360102478,-0.32754076613082533,-1.2996447523413273,-1.1981647609699124,-1.3877403809080053,-0.46951767771331804,-0.6543461786363604,-0.752729570840128
2021-10-16,-0.017276811026345477,-0.09403818421413367,0.2636631107934409,-1.3020113955436512,-0.3844814071644946,0.3211276472524715,-0.10968576264989578,1.448031807974397,0.41529863883931706,0.7542975833086045,0.7073200138021365,1.4193736058288522,-0.11769557254430327,0.13786874996002213,-1.2996447523413273,-1.1981647609699124,-1.3003594336520066,-0.4260261360967396,-0.6216338572078094,-0.752729570840128
2021-10-17,-0.017276811026345477,-0.7631312811019203,-0.3350798058289603,-1.3052815403185882,-0.3627460702976473,-0.017678076748213006,-0.10968576264989578,1.3948654038519512,-0.09270974870763617,0.962483113569133,0.72306970461032,0.2636586810593662,0.23038375198301764,-0.07156553228085924,-1.2996447523413273,-1.155691543816172,-1.3003594336520066,-0.38253459448016114,-0.5998256429221088,-0.752729570840128
2021-10-18,0.08969728848027214,-0.47943580802149877,-0.3350798058289603,-1.2678633507741137,-0.3355768992140882,-0.017678076748213006,0.918974415030004,-0.43051447101868556,-0.7611418375852065,0.16176953564402313,0.7440692923545649,-0.3350851956284399,0.1978963483604677,-0.27634571936083213,-1.3029135278610962,-1.1535813403676733,-1.3003594336520066,-0.3607888236718719,-0.5780174286364081,-0.752729570840128
2021-10-19,0.6022815152828149,-0.3456171886439414,-0.0008977128304108067,-1.3643425580976762,-0.2975400596971054,0.08931320451516105,0.8210067790604897,-0.43051447101868556,-0.47772663190111664,0.3272503417485459,0.7125699107381978,-0.3350851956284399,-0.3358252825814244,-0.3321948612917338,-1.2655110058337946,-1.143130985236219,-1.236819352864957,-0.3336066101615104,-0.5507571607792824,-0.752729570840128
